plotID,country,state,county,domain,domainID,siteName,siteID,plotType,subtype,plotDim,latitude,longitude,datum,utmZone,nlcdClass,soilOrder
BART_010,unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest NEON,BART,distributed,tickPlot,40m x 40m,44.0511,-71.267761,WGS84,19N,deciduousForest,NA
BART_015,unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest NEON,BART,distributed,tickPlot,40m x 40m,44.042146,-71.271613,WGS84,19N,mixedForest,NA
BART_019,unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest NEON,BART,distributed,tickPlot,40m x 40m,44.069348,-71.287994,WGS84,19N,mixedForest,NA
BART_002,unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest NEON,BART,distributed,tickPlot,40m x 40m,44.035239,-71.274681,WGS84,19N,deciduousForest,NA
BART_029,unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest NEON,BART,distributed,tickPlot,40m x 40m,44.058949,-71.289334,WGS84,19N,evergreenForest,NA
BART_011,unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest NEON,BART,distributed,tickPlot,40m x 40m,44.048783,-71.295353,WGS84,19N,mixedForest,NA
DSNY_001,unitedStates,FL,Osceola,Southeast,D03,Disney Wilderness Preserve NEON,DSNY,distributed,tickPlot,40m x 40m,28.098062,-81.418561,WGS84,17N,woodyWetlands,Entisols
DSNY_004,unitedStates,FL,Osceola,Southeast,D03,Disney Wilderness Preserve NEON,DSNY,distributed,tickPlot,40m x 40m,28.101022,-81.399501,WGS84,17N,woodyWetlands,Entisols
DSNY_006,unitedStates,FL,Osceola,Southeast,D03,Disney Wilderness Preserve NEON,DSNY,distributed,tickPlot,40m x 40m,28.093704,-81.398045,WGS84,17N,woodyWetlands,Alfisols
DSNY_008,unitedStates,FL,Polk,Southeast,D03,Disney Wilderness Preserve NEON,DSNY,distributed,tickPlot,40m x 40m,28.047337,-81.403204,WGS84,17N,woodyWetlands,Entisols
DSNY_021,unitedStates,FL,Polk,Southeast,D03,Disney Wilderness Preserve NEON,DSNY,distributed,tickPlot,40m x 40m,28.053635,-81.392353,WGS84,17N,pastureHay,Entisols
DSNY_005,unitedStates,FL,Polk,Southeast,D03,Disney Wilderness Preserve NEON,DSNY,distributed,tickPlot,40m x 40m,28.040497,-81.394482,WGS84,17N,woodyWetlands,Entisols
GRSM_003,unitedStates,TN,Sevier,Appalachians & Cumberland Plateau,D07,Great Smoky Mountains National Park NEON,GRSM,distributed,tickPlot,40m x 40m,35.676582,-83.476212,WGS84,17N,deciduousForest,Inceptisols
GRSM_004,unitedStates,TN,Sevier,Appalachians & Cumberland Plateau,D07,Great Smoky Mountains National Park NEON,GRSM,distributed,tickPlot,40m x 40m,35.688954,-83.535565,WGS84,17N,deciduousForest,Inceptisols
GRSM_006,unitedStates,TN,Sevier,Appalachians & Cumberland Plateau,D07,Great Smoky Mountains National Park NEON,GRSM,distributed,tickPlot,40m x 40m,35.679075,-83.643672,WGS84,17N,deciduousForest,Inceptisols
GRSM_009,unitedStates,TN,Sevier,Appalachians & Cumberland Plateau,D07,Great Smoky Mountains National Park NEON,GRSM,distributed,tickPlot,40m x 40m,35.671879,-83.491176,WGS84,17N,deciduousForest,Inceptisols
GRSM_010,unitedStates,TN,Sevier,Appalachians & Cumberland Plateau,D07,Great Smoky Mountains National Park NEON,GRSM,distributed,tickPlot,40m x 40m,35.669244,-83.524578,WGS84,17N,deciduousForest,Inceptisols
GRSM_015,unitedStates,TN,Sevier,Appalachians & Cumberland Plateau,D07,Great Smoky Mountains National Park NEON,GRSM,distributed,tickPlot,40m x 40m,35.729087,-83.408065,WGS84,17N,deciduousForest,Inceptisols
HARV_006,unitedStates,MA,Worcester,Northeast,D01,Harvard Forest & Quabbin Watershed NEON,HARV,distributed,tickPlot,40m x 40m,42.401928,-72.2527,WGS84,18N,deciduousForest,Inceptisols
HARV_001,unitedStates,MA,Worcester,Northeast,D01,Harvard Forest & Quabbin Watershed NEON,HARV,distributed,tickPlot,40m x 40m,42.424217,-72.260096,WGS84,18N,deciduousForest,Inceptisols
HARV_022,unitedStates,MA,Worcester,Northeast,D01,Harvard Forest & Quabbin Watershed NEON,HARV,distributed,tickPlot,40m x 40m,42.435458,-72.199287,WGS84,18N,evergreenForest,Entisols
HARV_002,unitedStates,MA,Worcester,Northeast,D01,Harvard Forest & Quabbin Watershed NEON,HARV,distributed,tickPlot,40m x 40m,42.477231,-72.259454,WGS84,18N,deciduousForest,Inceptisols
HARV_004,unitedStates,MA,Worcester,Northeast,D01,Harvard Forest & Quabbin Watershed NEON,HARV,distributed,tickPlot,40m x 40m,42.426877,-72.227953,WGS84,18N,mixedForest,Inceptisols
HARV_026,unitedStates,MA,Worcester,Northeast,D01,Harvard Forest & Quabbin Watershed NEON,HARV,distributed,tickPlot,40m x 40m,42.412057,-72.246527,WGS84,18N,evergreenForest,Inceptisols
JERC_002,unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,tickPlot,40m x 40m,31.194058,-84.461542,WGS84,16N,evergreenForest,Ultisols
JERC_004,unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,tickPlot,40m x 40m,31.190116,-84.46738,WGS84,16N,cultivatedCrops,Ultisols
JERC_010,unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,tickPlot,40m x 40m,31.209229,-84.470521,WGS84,16N,deciduousForest,Ultisols
JERC_011,unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,tickPlot,40m x 40m,31.184787,-84.4667,WGS84,16N,evergreenForest,Ultisols
