"","uf","date","epiweek","cases"
"1","BA",2024-04-14,202416,16006
"2","BA",2024-04-21,202417,12596
"3","BA",2024-04-28,202418,11063
"4","BA",2024-05-05,202419,9757
"5","BA",2024-05-12,202420,7537
"6","BA",2024-05-19,202421,5802
"7","BA",2024-05-26,202422,3860
"8","BA",2024-06-02,202423,2952
"9","BA",2024-06-09,202424,2248
"10","BA",2024-06-16,202425,1604
"11","BA",2024-06-23,202426,1374
"12","BA",2024-06-30,202427,1268
"13","MG",2024-04-14,202416,76286
"14","MG",2024-04-21,202417,60440
"15","MG",2024-04-28,202418,55118
"16","MG",2024-05-05,202419,45496
"17","MG",2024-05-12,202420,35092
"18","MG",2024-05-19,202421,26336
"19","MG",2024-05-26,202422,15473
"20","MG",2024-06-02,202423,10541
"21","MG",2024-06-09,202424,7724
"22","MG",2024-06-16,202425,5461
"23","MG",2024-06-23,202426,3860
"24","MG",2024-06-30,202427,2938
"25","PR",2024-04-14,202416,45158
"26","PR",2024-04-21,202417,35458
"27","PR",2024-04-28,202418,37951
"28","PR",2024-05-05,202419,40182
"29","PR",2024-05-12,202420,33762
"30","PR",2024-05-19,202421,21546
"31","PR",2024-05-26,202422,12478
"32","PR",2024-06-02,202423,7800
"33","PR",2024-06-09,202424,8431
"34","PR",2024-06-16,202425,6866
"35","PR",2024-06-23,202426,4290
"36","PR",2024-06-30,202427,2682
"37","RS",2024-04-14,202416,21584
"38","RS",2024-04-21,202417,18923
"39","RS",2024-04-28,202418,15904
"40","RS",2024-05-05,202419,14124
"41","RS",2024-05-12,202420,14414
"42","RS",2024-05-19,202421,4260
"43","RS",2024-05-26,202422,3701
"44","RS",2024-06-02,202423,2256
"45","RS",2024-06-09,202424,2818
"46","RS",2024-06-16,202425,2813
"47","RS",2024-06-23,202426,1653
"48","RS",2024-06-30,202427,836
"49","SP",2024-04-14,202416,150206
"50","SP",2024-04-21,202417,143270
"51","SP",2024-04-28,202418,148265
"52","SP",2024-05-05,202419,159524
"53","SP",2024-05-12,202420,149041
"54","SP",2024-05-19,202421,111638
"55","SP",2024-05-26,202422,70284
"56","SP",2024-06-02,202423,45494
"57","SP",2024-06-09,202424,41753
"58","SP",2024-06-16,202425,34113
"59","SP",2024-06-23,202426,23056
"60","SP",2024-06-30,202427,15001
